offence_code,#_offences,#_criminals,chapter/act,cluster,Description,,,,,,CLuster name
306,1345,1281,ch_3,1,"Attempted murder not in association with suicide, no firearms",,,,,,"Threats/Assaults, known victim"
352,169,163,ch_3,1,Assault outdoors against children (0-6 yares) acquaintance with the victim,,,,,,
353,1383,1283,ch_3,1,Assault outdoors against children (7-14 yares) unfamiliar with the victim,,,,,,
354,1557,1436,ch_3,1,Assault outdoors against children (7-14 years) acquaintance with the victim,,,,,,
356,10260,8696,ch_3,1,Assault outdoors against a woman aged 18 or over acquaintance with the victim,,,,,,
358,13845,11684,ch_3,1,Assault outdoors against a man aged 18 or over acquaintance with the victim,,,,,,
362,1489,1296,ch_3,1,Assault intdoors against children (0-6 years) acquaintance with the victim,,,,,,
363,528,506,ch_3,1,Assault indoors against children (7-14 yares) unfamiliar with the victim,,,,,,
364,4316,3670,ch_3,1,Assault indoors against children (7-14 years) acquaintance with the victim,,,,,,
366,52967,33169,ch_3,1,Assault indoors against a woman aged 18 or over acquaintance with the victim,,,,,,
368,20122,16740,ch_3,1,Assault indoors against a man aged 18 or over acquaintance with the victim,,,,,,
376,614,580,ch_3,1,Aggravated assault outdoors against a woman aged 18 or over acquainted with the victim,,,,,,
378,1988,1843,ch_3,1,Aggravated assault outdoors against a man aged 18 or over acquainted with the victim,,,,,,
386,2761,2464,ch_3,1,Aggravated assault indoors against a woman aged 18 or over acquainted with the victim,,,,,,
388,2586,2357,ch_3,1,Aggravated assault indoors against a man aged 18 or over acquainted with the victim,,,,,,
401,27023,17992,ch_4,1,"Domestic trespass, unlawful intrusion",,,,,,
402,45933,27278,ch_4,1,"Trespassing, unlawful entry",,,,,,
403,14361,9767,ch_4,1,Unlawful threats,,,,,,
404,7043,6010,ch_4,1, Other offences against Chapter 4,,,,,,
405,26294,18620,ch_4,1,Unlawful threat against a man aged 18 or over,,,,,,
406,31791,20331,ch_4,1,Unlawful threat against a woman aged 18 or over,,,,,,
407,8123,6600,ch_4,1,Molestation against a man aged 18 or over,,,,,,
408,16016,11253,ch_4,1,Molestation against a woman aged 18 or over,,,,,,
409,4172,3622,ch_4,1,Unlawful threat against a person aged under 18,,,,,,
410,1816,1633,ch_4,1,Molestation against a person aged under 18,,,,,,
411,722,610,ch_4,1,Gross violation of integrity,,,,,,
412,4874,3751,ch_4,1,Gross violation of a woman’s integrity,,,,,,
413,1260,1133,ch_4,1,Unlawful threat against a group,,,,,,
414,768,643,ch_4,1,Molestation against a group,,,,,,
501,11480,9807,ch_5,1,Defamation,,,,,,
624,512,490,ch_6,1,Attempted rape indoors against a person 15 years or older,,,,,,
626,375,344,ch_6,1,Rape outdoors against a person 15 years or older,,,,,,
628,3370,2958,ch_6,1,Rape indoors against a person 15 years or older,,,,,,
711,2955,2297,ch_7,1,Unlawfully taking custody of a child,,,,,,
907,2473,2075,ch_9,1,"Usury, extortion",,,,,,
1203,41426,28110,ch_12,1,Vandalism - other vandalism (not graffiti) ,,,,,,
1604,701,542,ch_16,1,Unlawful discrimination,,,,,,
1707,13469,10780,ch_17,1,"Other offences against Chapter 17, accepting bribes, improper activity in connection with an election etc",,,,,,
4021,7596,2458,work_environment_act,1,Restraining Orders Act,,,,,,
302,290,269,ch_3,2,"Attempted murder not in association with suicide, firearms",,,,,,Drugs/Weapons
304,677,640,ch_3,2,Attempted murder without the use of firearms against man,,,,,,
313,100,98,ch_3,2,Consummated murder or manslaughter involving use of firearm against a man,,,,,,
323,121,117,ch_3,2,"Murder not in association with suicide, firearms",,,,,,
817,320,227,ch_8,2,"Theft committed via breaking and entering from a chemists, pharmacy, or pharmaceutical storage premises",,,,,,
824,4151,2567,ch_8,2,Residential burglary,,,,,,
836,331,299,ch_8,2,"Theft, of firearms from a dwelling (apartment, house)",,,,,,
839,153,143,ch_8,2,"Theft, of firearms - other thefts of firearms, ammunition and explosives",,,,,,
